Date,Probability,Lower_Threshold,Upper_Threshold,Signal,OBV,OBV_Change_5D,Conviction_Proxy,CMF_20,VIX_Percentile,Decision_Allocation,Observed_Bar,Valid_Feature_Row,Volatility,Target_Allocation,Available_Volatility,Available_Average_Volume,Execution_Open_Present,Mocked_Order_Size,Slippage,Order_Target
2025-11-26,0.49732232093811035,0.37785714285714284,0.6221428571428572,0,1305632874.0,-12311766.0,3,-0.11801303575198288,64.28571428571429,0.0,True,True,0.020604304631804123,0.0,0.02020212869404042,13269264.8,True,0.0,0.0,0.0
2025-11-27,0.5099560022354126,0.4180952380952381,0.5819047619047619,0,1299243144.0,-12343106.0,3,-0.047999941355725606,48.80952380952381,0.0,True,True,0.015379659538962706,0.0,0.020604304631804123,13395900.2,True,0.0,0.0,0.0
2025-11-28,0.510888397693634,0.4180952380952381,0.5819047619047619,0,1291202428.0,-10742002.0,3,-0.13203866760452732,48.80952380952381,0.0,True,True,0.015375728961700728,0.0,0.015379659538962706,12394078.0,True,0.0,0.0,0.0
2025-12-01,0.45668044686317444,0.4609126984126984,0.5390873015873016,-1,1301735656.0,12792390.0,5,-0.03930358026404573,32.34126984126984,0.0,True,True,0.015669142072652003,0.0,0.015375728961700728,11834492.2,True,0.0,0.0,0.0
2025-12-02,0.5122670531272888,0.415,0.585,0,1312729692.0,14743176.0,5,-0.028754797815244725,50.0,0.0,True,True,0.01564653380713096,0.0,0.015669142072652003,11674112.2,True,0.0,0.0,0.0
2025-12-03,0.43822214007377625,0.4454365079365079,0.5545634920634921,-1,1281124026.0,-24508848.0,3,-0.10741560080454396,38.2936507936508,0.0,True,True,0.017771939427850783,0.0,0.01564653380713096,11640081.6,True,0.0,0.0,0.0
2025-12-04,0.5104727745056152,0.47484126984126984,0.5251587301587302,0,1266745008.0,-32498136.0,3,-0.18600153912533335,26.984126984126984,0.0,True,True,0.014862435395767174,0.0,0.017771939427850783,12662493.1,True,0.0,0.0,0.0
2025-12-05,0.4561474919319153,0.48,0.52,-1,1246546582.0,-44655846.0,3,-0.24020503436187662,22.023809523809522,0.0,True,True,0.01561366405336735,0.0,0.014862435395767174,12319021.1,True,0.0,0.0,0.0
2025-12-08,0.512256920337677,0.48,0.52,0,1264045434.0,-37690222.0,3,-0.18154813932207237,17.46031746031746,0.0,True,True,0.01650858525595938,0.0,0.01561366405336735,12795721.2,True,0.0,0.0,0.0
2025-12-09,0.4708566963672638,0.4376984126984127,0.5623015873015873,0,1255602948.0,-57126744.0,3,-0.17593588059769635,41.269841269841265,0.0,True,True,0.01595109465784268,0.0,0.01650858525595938,13141292.2,True,0.0,0.0,0.0
2025-12-10,0.47361841797828674,0.4263492063492063,0.5736507936507936,0,1271104486.0,-10019540.0,3,-0.1763035088001594,45.63492063492063,0.0,True,True,0.016030052077563858,0.0,0.01595109465784268,12014131.4,True,0.0,0.0,0.0
2025-12-11,0.45939889550209045,0.48,0.52,-1,1294099126.0,27354118.0,5,-0.0673067508461657,20.436507936507937,0.0,True,True,0.018118563683482376,0.0,0.016030052077563858,12052062.8,True,0.0,0.0,0.0
2025-12-12,0.4384254813194275,0.48,0.52,-1,1303266456.0,56719874.0,5,-0.05418129425128991,7.5396825396825395,0.0,True,True,0.017881703425828586,0.0,0.018118563683482376,12747426.7,True,0.0,0.0,0.0
2025-12-15,0.47368761897087097,0.48,0.52,-1,1316267930.0,52222496.0,5,-0.013152025750818487,19.841269841269842,0.0,True,True,0.018799815998629985,0.0,0.017881703425828586,12737526.6,True,0.0,0.0,0.0
2025-12-16,0.468448668718338,0.4536904761904762,0.5463095238095238,0,1303600998.0,47998050.0,5,-0.04758447350838448,35.11904761904761,0.0,True,True,0.019077287622709663,0.0,0.018799815998629985,12766025.1,True,0.0,0.0,0.0
2025-12-17,0.44789689779281616,0.4552380952380952,0.5447619047619048,-1,1291552578.0,20448092.0,5,-0.0708631524212263,34.523809523809526,0.0,True,True,0.019302647871071003,0.0,0.019077287622709663,12902815.9,True,0.0,0.0,0.0
2025-12-18,0.466781347990036,0.40055555555555555,0.5994444444444444,0,1279437144.0,-14661982.0,3,-0.09072294396756762,55.55555555555556,0.0,True,True,0.019524187445116054,0.0,0.019302647871071003,12957673.7,True,0.0,0.0,0.0
2025-12-19,0.4851527810096741,0.43047619047619046,0.5695238095238095,0,1290266984.0,-12999472.0,3,-0.08390476158356674,44.047619047619044,0.0,True,True,0.019589732985378888,0.0,0.019524187445116054,13245525.9,True,0.0,0.0,0.0
2025-12-22,0.47593817114830017,0.48,0.52,-1,1282998188.0,-33269742.0,3,-0.07479669314165886,6.349206349206349,0.0,True,True,0.019260987205534777,0.0,0.019589732985378888,13304926.9,True,0.0,0.0,0.0
2025-12-23,0.47062450647354126,0.48,0.52,-1,1272165238.0,-31435760.0,3,-0.0894254244641957,0.3968253968253968,0.0,True,True,0.019369361191497,0.0,0.019260987205534777,13018308.5,True,0.0,0.0,0.0
2025-12-24,0.48550692200660706,0.48,0.52,0,1298841420.0,7288842.0,5,-0.12166913322346058,0.3968253968253968,0.0,True,True,0.020261004102692014,0.0,0.019369361191497,13107793.5,True,0.0,0.0,0.0
2025-12-26,0.4930136799812317,0.48,0.52,0,1292761110.0,13323966.0,5,-0.12424567982978008,0.3968253968253968,0.0,True,True,0.020588047196424132,0.0,0.020261004102692014,14059284.7,True,0.0,0.0,0.0
2025-12-29,0.45724600553512573,0.48,0.52,-1,1283573998.0,-6692986.0,3,-0.12360221185316057,0.7936507936507936,0.0,True,True,0.021195491058032326,0.0,0.020588047196424132,14043813.7,True,0.0,0.0,0.0
2025-12-30,0.4788939952850342,0.48,0.52,-1,1294880012.0,11881824.0,5,-0.12909881087498232,1.984126984126984,0.0,True,True,0.021277528941816077,0.0,0.021195491058032326,14101133.5,True,0.0,0.0,0.0
