Date,Lower,Upper
2023-05-22,0.48,0.52
2023-05-23,0.48,0.52
2023-05-24,0.48,0.52
2023-05-25,0.46968253968253965,0.5303174603174603
2023-05-26,0.48,0.52
2023-05-29,0.48,0.52
2023-05-30,0.48,0.52
2023-05-31,0.48,0.52
2023-06-01,0.48,0.52
2023-06-02,0.48,0.52
2023-06-05,0.48,0.52
2023-06-06,0.48,0.52
2023-06-07,0.48,0.52
2023-06-08,0.48,0.52
2023-06-09,0.48,0.52
2023-06-12,0.48,0.52
2023-06-13,0.48,0.52
2023-06-14,0.48,0.52
2023-06-15,0.48,0.52
2023-06-16,0.48,0.52
2023-06-19,0.48,0.52
2023-06-20,0.48,0.52
2023-06-21,0.48,0.52
2023-06-22,0.48,0.52
2023-06-23,0.48,0.52
2023-06-26,0.48,0.52
2023-06-27,0.48,0.52
2023-07-03,0.48,0.52
2023-07-04,0.48,0.52
2023-07-05,0.48,0.52
2023-07-06,0.48,0.52
2023-07-07,0.48,0.52
2023-07-10,0.48,0.52
2023-07-11,0.48,0.52
2023-07-12,0.48,0.52
2023-07-13,0.48,0.52
2023-07-14,0.48,0.52
2023-07-17,0.48,0.52
2023-07-18,0.48,0.52
2023-07-19,0.48,0.52
2023-07-20,0.48,0.52
2023-07-21,0.48,0.52
2023-07-24,0.48,0.52
2023-07-25,0.48,0.52
2023-07-26,0.48,0.52
2023-07-27,0.48,0.52
2023-07-28,0.48,0.52
2023-07-31,0.48,0.52
2023-08-01,0.48,0.52
2023-08-02,0.48,0.52
2023-08-03,0.48,0.52
2023-08-04,0.48,0.52
2023-08-07,0.48,0.52
2023-08-08,0.48,0.52
2023-08-09,0.48,0.52
2023-08-10,0.48,0.52
2023-08-11,0.48,0.52
2023-08-14,0.48,0.52
2023-08-15,0.48,0.52
2023-08-16,0.48,0.52
2023-08-17,0.48,0.52
2023-08-18,0.46349206349206346,0.5365079365079365
2023-08-21,0.46865079365079365,0.5313492063492063
2023-08-22,0.47174603174603175,0.5282539682539683
2023-08-23,0.4779365079365079,0.5220634920634921
2023-08-24,0.48,0.52
2023-08-25,0.46658730158730155,0.5334126984126984
2023-08-28,0.48,0.52
2023-08-29,0.48,0.52
2023-08-31,0.48,0.52
2023-09-01,0.48,0.52
2023-09-04,0.48,0.52
2023-09-05,0.48,0.52
2023-09-06,0.48,0.52
2023-09-07,0.48,0.52
2023-09-08,0.48,0.52
2023-09-11,0.48,0.52
2023-09-12,0.48,0.52
2023-09-13,0.48,0.52
2023-09-14,0.48,0.52
2023-09-15,0.48,0.52
2023-09-18,0.48,0.52
2023-09-19,0.48,0.52
2023-09-20,0.48,0.52
2023-09-21,0.48,0.52
2023-09-22,0.4438888888888889,0.5561111111111111
2023-09-25,0.4475,0.5525
2023-09-26,0.4614285714285714,0.5385714285714286
2023-09-27,0.413968253968254,0.586031746031746
2023-09-28,0.4325396825396825,0.5674603174603174
2023-09-29,0.44285714285714284,0.5571428571428572
2023-10-02,0.4407936507936508,0.5592063492063493
2023-10-03,0.4387301587301587,0.5612698412698413
2023-10-04,0.3902380952380952,0.6097619047619047
2023-10-05,0.4191269841269841,0.5808730158730159
2023-10-06,0.4227380952380952,0.5772619047619048
2023-10-09,0.4418253968253968,0.5581746031746032
2023-10-10,0.43666666666666665,0.5633333333333334
2023-10-11,0.45420634920634917,0.5457936507936508
2023-10-12,0.47019841269841267,0.5298015873015873
2023-10-13,0.46658730158730155,0.5334126984126984
2023-10-16,0.3892063492063492,0.6107936507936508
2023-10-17,0.44130952380952376,0.5586904761904762
2023-10-18,0.42738095238095236,0.5726190476190477
2023-10-19,0.3871428571428571,0.6128571428571429
2023-10-20,0.35,0.65
2023-10-23,0.35,0.65
2023-10-24,0.36444444444444446,0.6355555555555555
2023-10-25,0.3990079365079365,0.6009920634920635
2023-10-26,0.3665079365079365,0.6334920634920636
2023-10-27,0.3541269841269841,0.6458730158730159
2023-10-30,0.35,0.65
2023-10-31,0.37785714285714284,0.6221428571428572
2023-11-01,0.4222222222222222,0.5777777777777778
2023-11-02,0.4609126984126984,0.5390873015873016
2023-11-03,0.48,0.52
2023-11-06,0.48,0.52
2023-11-07,0.48,0.52
2023-11-08,0.48,0.52
2023-11-09,0.48,0.52
2023-11-10,0.47896825396825393,0.5210317460317461
2023-11-13,0.48,0.52
2023-11-14,0.48,0.52
2023-11-15,0.48,0.52
2023-11-16,0.48,0.52
2023-11-17,0.48,0.52
2023-11-20,0.48,0.52
2023-11-21,0.48,0.52
2023-11-22,0.48,0.52
2023-11-23,0.48,0.52
2023-11-24,0.48,0.52
2023-11-27,0.48,0.52
2023-11-28,0.48,0.52
2023-11-29,0.48,0.52
2023-11-30,0.48,0.52
2023-12-01,0.48,0.52
2023-12-04,0.48,0.52
2023-12-05,0.48,0.52
2023-12-06,0.48,0.52
2023-12-07,0.48,0.52
2023-12-08,0.48,0.52
2023-12-11,0.48,0.52
2023-12-12,0.48,0.52
2023-12-13,0.48,0.52
2023-12-14,0.48,0.52
