Date,Portfolio_Equity,Portfolio_Return,Cash
2025-02-06,8414968.859931445,0.0,8414968.859931445
2025-02-07,8414968.859931445,0.0,8414968.859931445
2025-02-10,8414968.859931445,0.0,8414968.859931445
2025-02-11,8414968.859931445,0.0,8414968.859931445
2025-02-12,8414968.859931445,0.0,8414968.859931445
2025-02-13,8414968.859931445,0.0,8414968.859931445
2025-02-14,8414968.859931445,0.0,8414968.859931445
2025-02-17,8414968.859931445,0.0,8414968.859931445
2025-02-18,8414968.859931445,0.0,8414968.859931445
2025-02-19,8414968.859931445,0.0,8414968.859931445
2025-02-20,8414968.859931445,0.0,8414968.859931445
2025-02-21,8414968.859931445,0.0,8414968.859931445
2025-02-24,8414968.859931445,0.0,8414968.859931445
2025-02-25,8414968.859931445,0.0,8414968.859931445
2025-02-26,8414968.859931445,0.0,8414968.859931445
2025-02-27,8414968.859931445,0.0,8414968.859931445
2025-02-28,8414968.859931445,0.0,8414968.859931445
2025-03-03,8414968.859931445,0.0,8414968.859931445
2025-03-04,8414968.859931445,0.0,8414968.859931445
2025-03-05,8414968.859931445,0.0,8414968.859931445
2025-03-06,8414968.859931445,0.0,8414968.859931445
2025-03-07,8414968.859931445,0.0,8414968.859931445
2025-03-10,8414968.859931445,0.0,8414968.859931445
2025-03-11,8414968.859931445,0.0,8414968.859931445
2025-03-12,8414968.859931445,0.0,8414968.859931445
2025-03-13,8414968.859931445,0.0,8414968.859931445
2025-03-14,8414968.859931445,0.0,8414968.859931445
2025-03-17,8414968.859931445,0.0,8414968.859931445
2025-03-18,8414968.859931445,0.0,8414968.859931445
2025-03-19,8414968.859931445,0.0,8414968.859931445
2025-03-20,8414968.859931445,0.0,8414968.859931445
2025-03-21,8414968.859931445,0.0,8414968.859931445
2025-03-24,8414968.859931445,0.0,8414968.859931445
2025-03-25,8414968.859931445,0.0,8414968.859931445
2025-03-26,8414968.859931445,0.0,8414968.859931445
2025-03-27,8414968.859931445,0.0,8414968.859931445
2025-03-28,8333294.767775937,-0.009705810385633815,0.0
2025-04-02,8302798.264221389,-0.003659597362675233,8302798.264221389
2025-04-03,8302798.264221389,0.0,8302798.264221389
2025-04-04,8302798.264221389,0.0,8302798.264221389
2025-04-07,8302798.264221389,0.0,8302798.264221389
2025-04-08,8302798.264221389,0.0,8302798.264221389
2025-04-09,8302798.264221389,0.0,8302798.264221389
2025-04-10,8302798.264221389,0.0,8302798.264221389
2025-04-11,8302798.264221389,0.0,8302798.264221389
2025-04-14,8302798.264221389,0.0,8302798.264221389
2025-04-15,8302798.264221389,0.0,8302798.264221389
2025-04-16,8302798.264221389,0.0,8302798.264221389
2025-04-17,8302798.264221389,0.0,8302798.264221389
2025-04-18,8302798.264221389,0.0,8302798.264221389
2025-04-21,8302798.264221389,0.0,8302798.264221389
2025-04-22,8302798.264221389,0.0,8302798.264221389
2025-04-24,8302798.264221389,0.0,8302798.264221389
2025-04-25,8302798.264221389,0.0,8302798.264221389
2025-04-28,8302798.264221389,0.0,8302798.264221389
2025-04-29,8302798.264221389,0.0,8302798.264221389
2025-04-30,8302798.264221389,0.0,8302798.264221389
2025-05-02,8302798.264221389,0.0,8302798.264221389
2025-05-05,8302798.264221389,0.0,8302798.264221389
2025-05-06,8302798.264221389,0.0,8302798.264221389
2025-05-07,8302798.264221389,0.0,8302798.264221389
2025-05-08,8302798.264221389,0.0,8302798.264221389
2025-05-09,8302798.264221389,0.0,8302798.264221389
2025-05-12,8302798.264221389,0.0,8302798.264221389
2025-05-13,8302798.264221389,0.0,8302798.264221389
2025-05-14,8302798.264221389,0.0,8302798.264221389
2025-05-15,8302798.264221389,0.0,8302798.264221389
2025-05-16,8302798.264221389,0.0,8302798.264221389
2025-05-20,8302798.264221389,0.0,8302798.264221389
2025-05-21,8302798.264221389,0.0,8302798.264221389
2025-05-22,8302798.264221389,0.0,8302798.264221389
2025-05-23,8302798.264221389,0.0,8302798.264221389
2025-05-26,8302798.264221389,0.0,8302798.264221389
2025-05-27,8302798.264221389,0.0,8302798.264221389
2025-05-28,8302798.264221389,0.0,8302798.264221389
2025-05-29,8302798.264221389,0.0,8302798.264221389
2025-05-30,8302798.264221389,0.0,8302798.264221389
2025-06-02,8302798.264221389,0.0,8302798.264221389
2025-06-03,8302798.264221389,0.0,8302798.264221389
2025-06-04,8302798.264221389,0.0,8302798.264221389
2025-06-05,8302798.264221389,0.0,8302798.264221389
2025-06-10,8302798.264221389,0.0,8302798.264221389
2025-06-11,8302798.264221389,0.0,8302798.264221389
2025-06-12,8302798.264221389,0.0,8302798.264221389
2025-06-13,8302798.264221389,0.0,8302798.264221389
2025-06-16,8302798.264221389,0.0,8302798.264221389
2025-06-17,8302798.264221389,0.0,8302798.264221389
2025-06-18,8302798.264221389,0.0,8302798.264221389
2025-06-19,8302798.264221389,0.0,8302798.264221389
2025-06-20,8302798.264221389,0.0,8302798.264221389
2025-06-23,8302798.264221389,0.0,8302798.264221389
2025-06-24,8302798.264221389,0.0,8302798.264221389
2025-06-25,8302798.264221389,0.0,8302798.264221389
2025-06-26,8302798.264221389,0.0,8302798.264221389
2025-06-27,8302798.264221389,0.0,8302798.264221389
2025-06-30,8302798.264221389,0.0,8302798.264221389
2025-07-01,8302798.264221389,0.0,8302798.264221389
2025-07-02,8302798.264221389,0.0,8302798.264221389
2025-07-03,8302798.264221389,0.0,8302798.264221389
2025-07-04,8302798.264221389,0.0,8302798.264221389
2025-07-07,8302798.264221389,0.0,8302798.264221389
2025-07-08,8075250.030137573,-0.027406210152590555,0.0
2025-07-09,8087414.216516884,0.0015063541480341558,8087414.216516884
2025-07-10,8087414.216516884,0.0,8087414.216516884
2025-07-11,8087414.216516884,0.0,8087414.216516884
2025-07-14,8087414.216516884,0.0,8087414.216516884
2025-07-16,8087414.216516884,0.0,8087414.216516884
2025-07-17,8087414.216516884,0.0,8087414.216516884
2025-07-18,8087414.216516884,0.0,8087414.216516884
2025-07-21,8087414.216516884,0.0,8087414.216516884
2025-07-22,8087414.216516884,0.0,8087414.216516884
2025-07-23,8087414.216516884,0.0,8087414.216516884
2025-07-24,8087414.216516884,0.0,8087414.216516884
2025-07-25,8087414.216516884,0.0,8087414.216516884
2025-07-28,8087414.216516884,0.0,8087414.216516884
2025-07-29,8087414.216516884,0.0,8087414.216516884
2025-07-30,8087414.216516884,0.0,8087414.216516884
2025-07-31,8273825.2683253,0.023049524460823288,0.0
2025-08-01,8314195.9682225045,0.004879327105414681,0.0
2025-08-04,8354599.556249215,0.004859590534206363,8354599.556249215
2025-08-05,8354599.556249215,0.0,8354599.556249215
2025-08-06,8354599.556249215,0.0,8354599.556249215
2025-08-07,8354599.556249215,0.0,8354599.556249215
2025-08-08,8308304.352575044,-0.005541283380786629,0.0
2025-08-11,8406193.326687057,0.01178206405999957,0.0
2025-08-12,8418429.30060217,0.0014555903533966694,0.0
2025-08-13,8522436.26167174,0.012354675362318627,0.0
2025-08-14,8351535.275271339,-0.02005306712225005,0.0
2025-08-15,8357753.174790659,0.0007445217333549044,8357753.174790659
2025-08-18,8357753.174790659,0.0,8357753.174790659
2025-08-19,8357753.174790659,0.0,8357753.174790659
2025-08-20,8357753.174790659,0.0,8357753.174790659
2025-08-21,8357753.174790659,0.0,8357753.174790659
2025-08-22,8357753.174790659,0.0,8357753.174790659
2025-08-25,8357753.174790659,0.0,8357753.174790659
2025-08-26,8357753.174790659,0.0,8357753.174790659
2025-08-27,8357753.174790659,0.0,8357753.174790659
2025-08-28,8357753.174790659,0.0,8357753.174790659
2025-08-29,8357753.174790659,0.0,8357753.174790659
2025-09-01,8357753.174790659,0.0,8357753.174790659
2025-09-02,8357753.174790659,0.0,8357753.174790659
2025-09-03,8357753.174790659,0.0,8357753.174790659
2025-09-04,8357753.174790659,0.0,8357753.174790659
2025-09-05,8394448.044509832,0.004390518474493229,0.0
2025-09-08,8205811.18307793,-0.022471621770924564,0.0
2025-09-09,8254406.232516684,0.005922028712891552,0.0
2025-09-10,8432966.020210452,0.02163205719029989,-9.313225746154785e-10
2025-09-11,8439258.281887949,0.0007461504839953222,8439258.281887949
2025-09-12,8439258.281887949,0.0,8439258.281887949
2025-09-15,8966477.84054399,0.06247226249580978,0.0
2025-09-16,8996745.2581447,0.0033756195173818113,8996745.2581447
2025-09-17,9049978.260821365,0.0059169178574298735,0.0
2025-09-18,9084142.856683547,0.0037751025336806854,9084142.856683547
2025-09-19,9084142.856683547,0.0,9084142.856683547
2025-09-22,9084142.856683547,0.0,9084142.856683547
2025-09-23,9084142.856683547,0.0,9084142.856683547
2025-09-24,9084142.856683547,0.0,9084142.856683547
2025-09-25,9084142.856683547,0.0,9084142.856683547
2025-09-26,9084142.856683547,0.0,9084142.856683547
2025-09-29,9084142.856683547,0.0,9084142.856683547
2025-09-30,9112550.617170885,0.0031271811700360774,0.0
2025-10-01,9103337.785529993,-0.0010110047151378105,9103337.785529993
2025-10-02,9103337.785529993,0.0,9103337.785529993
2025-10-03,9103337.785529993,0.0,9103337.785529993
2025-10-06,9103337.785529993,0.0,9103337.785529993
2025-10-07,9103337.785529993,0.0,9103337.785529993
2025-10-08,9103337.785529993,0.0,9103337.785529993
2025-10-09,9103337.785529993,0.0,9103337.785529993
2025-10-10,9103337.785529993,0.0,9103337.785529993
2025-10-13,9103337.785529993,0.0,9103337.785529993
2025-10-14,9103337.785529993,0.0,9103337.785529993
2025-10-15,9103337.785529993,0.0,9103337.785529993
2025-10-16,9103337.785529993,0.0,9103337.785529993
2025-10-17,9103337.785529993,0.0,9103337.785529993
2025-10-20,9103337.785529993,0.0,9103337.785529993
2025-10-21,9103337.785529993,0.0,9103337.785529993
2025-10-22,9103337.785529993,0.0,9103337.785529993
2025-10-23,9103337.785529993,0.0,9103337.785529993
2025-10-24,9103337.785529993,0.0,9103337.785529993
2025-10-27,9103337.785529993,0.0,9103337.785529993
2025-10-28,9103337.785529993,0.0,9103337.785529993
2025-10-30,9177354.64460146,0.008130738506607863,0.0
2025-10-31,9177318.88891056,-3.89607814945258e-06,9177318.88891056
