Date,Equity
2023-07-27,1050308.2031218335
2023-07-28,1050308.2031218335
2023-07-31,1050308.2031218335
2023-08-01,1050308.2031218335
2023-08-02,1050308.2031218335
2023-08-03,1050308.2031218335
2023-08-04,1050308.2031218335
2023-08-07,1050308.2031218335
2023-08-08,1050308.2031218335
2023-08-09,1050308.2031218335
2023-08-10,1050308.2031218335
2023-08-11,1050308.2031218335
2023-08-14,1050308.2031218335
2023-08-15,1050308.2031218335
2023-08-16,1050308.2031218335
2023-08-17,1052962.137616684
2023-08-18,1053258.640797406
2023-08-21,1053258.640797406
2023-08-22,1053258.640797406
2023-08-23,1053258.640797406
2023-08-24,1053258.640797406
2023-08-25,1053258.640797406
2023-08-28,1053258.640797406
2023-08-29,1053258.640797406
2023-08-31,1053258.640797406
2023-09-01,1053258.640797406
2023-09-04,1053258.640797406
2023-09-05,1053258.640797406
2023-09-06,1053258.640797406
2023-09-07,1053258.640797406
2023-09-08,1053258.640797406
2023-09-11,1053258.640797406
2023-09-12,1053258.640797406
2023-09-13,1053258.640797406
2023-09-14,1053258.640797406
2023-09-15,1053258.640797406
2023-09-18,1053258.640797406
2023-09-19,1053258.640797406
2023-09-20,1053258.640797406
2023-09-21,1053258.640797406
2023-09-22,1053258.640797406
2023-09-25,1053258.640797406
2023-09-26,1053258.640797406
2023-09-27,1053258.640797406
2023-09-28,1053258.640797406
2023-09-29,1053258.640797406
2023-10-02,1053258.640797406
2023-10-03,1053258.640797406
2023-10-04,1053258.640797406
2023-10-05,1053258.640797406
2023-10-06,1053258.640797406
2023-10-09,1053258.640797406
2023-10-10,1053258.640797406
2023-10-11,1053258.640797406
2023-10-12,1053258.640797406
2023-10-13,1053258.640797406
2023-10-16,1053258.640797406
2023-10-17,1053258.640797406
2023-10-18,1053258.640797406
2023-10-19,1053258.640797406
2023-10-20,1053258.640797406
2023-10-23,1053258.640797406
2023-10-24,1053258.640797406
2023-10-25,1053258.640797406
2023-10-26,1053258.640797406
2023-10-27,1053258.640797406
2023-10-30,1053258.640797406
2023-10-31,1053258.640797406
2023-11-01,1053258.640797406
2023-11-02,1053258.640797406
2023-11-03,1053258.640797406
2023-11-06,1053258.640797406
2023-11-07,1053258.640797406
2023-11-08,1053258.640797406
2023-11-09,1053258.640797406
2023-11-10,1053258.640797406
2023-11-13,1053258.640797406
2023-11-14,1053258.640797406
2023-11-15,1053258.640797406
2023-11-16,1053258.640797406
2023-11-17,1053258.640797406
2023-11-20,1053258.640797406
2023-11-21,1053258.640797406
2023-11-22,1053258.640797406
2023-11-23,1053258.640797406
2023-11-24,1053258.640797406
2023-11-27,1053258.640797406
2023-11-28,1053258.640797406
2023-11-29,1053258.640797406
2023-11-30,1053258.640797406
2023-12-01,1053258.640797406
2023-12-04,1053258.640797406
2023-12-05,1053258.640797406
2023-12-06,1053258.640797406
2023-12-07,1053258.640797406
2023-12-08,1053258.640797406
2023-12-11,1053258.640797406
2023-12-12,1053258.640797406
2023-12-13,1051753.9026729336
2023-12-14,1052482.8424410822
2023-12-15,1052482.8424410822
2023-12-18,1050167.0544601637
2023-12-19,1050129.295461531
2023-12-20,1049210.1600247154
2023-12-21,1049959.7176414249
2023-12-22,1049935.5275141841
2023-12-26,1049935.5275141841
2023-12-27,1049935.5275141841
2023-12-28,1051924.8680943581
2023-12-29,1051814.7641300322
2024-01-02,1053086.7089168737
2024-01-03,1053086.7089168737
2024-01-04,1053086.7089168737
2024-01-05,1053086.7089168737
2024-01-08,1053086.7089168737
2024-01-09,1053086.7089168737
2024-01-10,1053086.7089168737
2024-01-11,1053086.7089168737
2024-01-12,1053086.7089168737
2024-01-15,1053086.7089168737
2024-01-16,1053086.7089168737
2024-01-17,1053086.7089168737
2024-01-18,1053086.7089168737
2024-01-19,1053086.7089168737
2024-01-22,1053086.7089168737
2024-01-23,1053086.7089168737
2024-01-24,1053086.7089168737
2024-01-25,1053086.7089168737
2024-01-26,1053086.7089168737
2024-01-29,1053086.7089168737
2024-01-30,1053086.7089168737
2024-01-31,1053086.7089168737
2024-02-01,1053086.7089168737
2024-02-02,1053086.7089168737
2024-02-05,1053086.7089168737
2024-02-06,1053086.7089168737
2024-02-07,1053086.7089168737
2024-02-08,1053086.7089168737
2024-02-09,1053086.7089168737
2024-02-12,1053086.7089168737
2024-02-13,1053086.7089168737
2024-02-14,1053086.7089168737
2024-02-15,1053086.7089168737
2024-02-16,1053086.7089168737
2024-02-19,1053086.7089168737
2024-02-20,1053086.7089168737
2024-02-21,1053086.7089168737
2024-02-22,1053086.7089168737
2024-02-23,1053086.7089168737
2024-02-26,1053086.7089168737
2024-02-27,1053086.7089168737
2024-02-28,1053086.7089168737
2024-02-29,1053086.7089168737
2024-03-01,1053086.7089168737
2024-03-04,1053086.7089168737
2024-03-05,1053086.7089168737
2024-03-06,1053086.7089168737
2024-03-07,1053086.7089168737
2024-03-08,1053086.7089168737
2024-03-11,1053086.7089168737
2024-03-12,1053086.7089168737
2024-03-13,1053086.7089168737
2024-03-14,1053086.7089168737
2024-03-15,1053086.7089168737
2024-03-18,1053086.7089168737
2024-03-19,1053086.7089168737
2024-03-20,1053086.7089168737
2024-03-21,1053086.7089168737
2024-03-22,1053086.7089168737
2024-03-25,1053086.7089168737
2024-03-26,1052582.2614889112
2024-03-27,1051627.122427898
2024-03-28,1055421.7883333175
2024-03-29,1055425.9270299312
2024-04-01,1056647.2699544344
2024-04-02,1056775.168304991
2024-04-03,1056775.168304991
2024-04-04,1056775.168304991
2024-04-05,1056775.168304991
2024-04-08,1056775.168304991
2024-04-09,1056775.168304991
2024-04-15,1056775.168304991
2024-04-16,1056775.168304991
2024-04-17,1056775.168304991
2024-04-18,1056775.168304991
2024-04-19,1056775.168304991
2024-04-22,1056775.168304991
2024-04-24,1056775.168304991
2024-04-25,1056775.168304991
2024-04-26,1056775.168304991
2024-04-29,1056775.168304991
2024-04-30,1056775.168304991
2024-05-02,1056775.168304991
2024-05-03,1056775.168304991
2024-05-06,1056775.168304991
2024-05-07,1056775.168304991
2024-05-08,1056775.168304991
2024-05-09,1056775.168304991
2024-05-10,1056775.168304991
2024-05-13,1056775.168304991
2024-05-14,1056775.168304991
2024-05-15,1056775.168304991
2024-05-16,1056775.168304991
2024-05-17,1056775.168304991
2024-05-20,1056775.168304991
2024-05-21,1056775.168304991
2024-05-22,1056775.168304991
2024-05-23,1056775.168304991
2024-05-24,1056775.168304991
2024-05-27,1056775.168304991
2024-05-28,1056775.168304991
2024-05-29,1056775.168304991
2024-05-30,1056775.168304991
2024-05-31,1056775.168304991
2024-06-03,1056775.168304991
2024-06-04,1056775.168304991
2024-06-05,1056775.168304991
2024-06-06,1056775.168304991
2024-06-07,1056775.168304991
2024-06-10,1056775.168304991
2024-06-11,1056775.168304991
2024-06-12,1056775.168304991
2024-06-13,1056775.168304991
2024-06-14,1056775.168304991
2024-06-20,1056775.168304991
2024-06-21,1056775.168304991
2024-06-24,1056775.168304991
2024-06-25,1056775.168304991
2024-06-26,1056775.168304991
2024-06-27,1056775.168304991
