Date,Close,High,Low,Open,Volume
2025-03-03,307.2300720214844,312.35871392327385,302.5898722055796,304.05519846323375,49150523
2025-03-04,309.91650390625,312.3587143389234,306.0089672139726,306.985851387042,35047448
2025-03-05,318.7084655761719,319.1969076690089,311.62605523003475,312.1144973228718,47800841
2025-03-06,328.2330627441406,328.2330627441406,316.7546743892488,320.6622108504886,54894390
2025-03-07,327.9888610839844,330.6752925597281,325.5466506514901,327.0119769109867,33033527
2025-03-10,325.30242919921875,330.9195131868929,324.081323984507,327.9888606715847,27065446
2025-03-11,322.8601989746094,327.2561774780458,322.8601989746094,326.27929336617103,23776191
2025-03-12,325.7908630371094,328.7215154782228,324.5697578533121,325.54664200034995,31574967
2025-03-13,329.942626953125,331.65217424303756,326.7677534147159,328.23307966321244,44492350
2025-03-14,329.2099914550781,331.6522020741811,328.23310720743694,331.6522020741811,26900238
2025-03-17,326.2793273925781,331.1637484613293,325.54666423226547,329.69842214070394,25636817
2025-03-18,319.4411315917969,324.3255525641485,319.1969105431793,323.3486683696782,29487095
2025-03-19,294.286376953125,311.3818511329746,288.18085046032155,301.8572298042012,63125592
2025-03-20,300.8803405761719,308.9396354130336,295.7516984072599,295.7516984072599,54152829
2025-03-21,279.1446533203125,299.6592210183932,275.7255587039657,299.17077893034366,52546154
2025-03-24,295.99591064453125,298.6823421767836,284.7617424187487,287.9366160477742,55342576
2025-03-25,304.7878723144531,307.9627459843954,299.41500918070477,300.8803354899089,43119513
2025-03-26,302.5898742675781,306.49741098128374,300.6361059107253,301.8572111337583,30936805
2025-03-27,301.3687744140625,308.69540588279983,300.8803323161467,307.9627427359261,30775578
2025-03-28,303.81097412109375,304.29941620167426,295.50745875122465,302.10142683906184,25046525
2025-04-02,297.9496765136719,302.34565534748015,297.9496765136719,301.61299220851214,17269939
2025-04-03,296.9728088378906,301.3687879160831,296.9728088378906,298.4381351972881,18371736
2025-04-04,297.7054443359375,300.88031781942163,296.7285601871731,298.6823284847019,24782039
2025-04-07,302.8341064453125,306.7416433026714,287.9366221766318,291.59993798040574,49075770
2025-04-08,301.1245422363281,307.4742892745637,301.1245422363281,306.74162615476735,28235708
2025-04-09,298.9265441894531,303.566743813309,298.4381021237841,299.90342832079125,32425908
2025-04-10,298.9265441894531,307.9627224043304,298.9265441894531,307.47428033866134,27575977
2025-04-11,302.8341064453125,302.8341064453125,298.9265695879536,299.6592327487084,26415836
2025-04-14,306.00897216796875,307.71851949851606,304.54364588464244,305.52053007352663,23820445
2025-04-15,312.60296630859375,313.0914084434509,305.03211321830753,306.2532185554505,37597322
2025-04-16,312.35870361328125,315.0451349969764,310.6491563691116,312.6029246481626,27672822
2025-04-17,316.02203369140625,317.73158101431187,312.60293904559506,313.09138113785383,29681244
2025-04-18,311.62603759765625,316.2662372170571,309.6722693368559,316.022016184457,17561301
2025-04-21,307.7185363769531,312.6029575892857,306.7416521344866,311.62607334681917,18774590
2025-04-22,312.60296630859375,313.8240716457367,309.18387136459353,309.18387136459353,22775757
2025-04-24,314.0682678222656,316.022036206852,310.6491731492394,314.8009309664855,16088858
2025-04-25,310.40496826171875,316.0220526598458,310.40496826171875,314.5567262951171,16262264
2025-04-28,305.5205383300781,311.38184362178225,305.5205383300781,310.64918046031926,16149088
2025-04-29,290.86724853515625,299.1707636066888,290.86724853515625,298.43810051214183,28399308
2025-04-30,277.6793212890625,293.30946778202645,276.70243713325226,291.8441415483111,33320216
2025-05-02,285.9828186035156,288.180807815669,278.9004089199102,278.9004089199102,21047856
2025-05-05,287.2039489746094,289.64615942507373,280.36575971330916,288.18083315479515,19284842
2025-05-06,285.0059509277344,289.401929605283,284.5175088524512,287.44816130415023,15717504
2025-05-07,272.30645751953125,284.27328838810257,269.8642471381902,283.7848463118344,27150834
2025-05-08,278.4120178222656,278.9004599587959,272.55071218390214,274.016038593493,15393943
2025-05-09,287.2039489746094,289.64615942507373,278.9004334430305,278.9004334430305,27735690
2025-05-12,302.3456726074219,302.58989366768634,295.75170398028104,298.43813564319026,25067318
2025-05-13,297.46124267578125,301.368779525381,295.99591635718133,300.39189531298103,19280816
2025-05-14,292.08837890625,296.2401368004024,292.08837890625,296.2401368004024,23810847
2025-05-15,286.9597473144531,294.04215809923534,285.4944209451878,292.82105279151426,16721515
2025-05-16,286.2270812988281,289.40195506750115,282.07532329364034,287.2039655353429,30633725
2025-05-20,280.12152099609375,286.95970982598965,279.3888579071763,286.95970982598965,28204042
2025-05-21,273.2833557128906,280.3657661826617,273.2833557128906,280.12154513197993,42495427
2025-05-22,277.6793212890625,280.8541947954458,271.818016354201,276.9466581722048,49323964
2025-05-23,273.2833557128906,279.63310303061644,273.2833557128906,276.946671473117,35288228
2025-05-26,273.527587890625,276.21401955740794,272.7949247087751,275.96979849679127,25342423
2025-05-27,268.6431579589844,276.4582316450639,268.6431579589844,274.0160211181641,26579753
2025-05-28,270.1084899902344,272.55070056880794,268.15472152737556,269.13160575880494,21458274
2025-05-29,272.0622253417969,274.50443562314155,270.84112020112457,272.30644636993134,24116391
2025-05-30,266.93359375,273.7717827939158,266.6893727127173,272.5506776075023,24838082
2025-06-02,269.37579345703125,270.10845653986996,265.71247804283774,266.20092009806353,23231977
2025-06-03,277.1908874511719,277.67932954359685,271.3295823420722,271.57380338828466,22246363
2025-06-04,280.3657531738281,280.8541952525282,275.23711134747765,276.70243758357776,21146096
2025-06-05,279.8773193359375,280.3657614290194,278.1677720101508,279.14465619631466,5311968
2025-06-10,284.2733154296875,286.4713049819789,282.31954693876185,282.31954693876185,28557448
2025-06-11,283.78485107421875,285.25017732761404,282.563745863056,284.2732931586838,21086678
2025-06-12,272.30645751953125,280.60997281609093,271.5737944051289,280.36575177795686,34285321
2025-06-13,257.6531982421875,260.3396296930539,252.52455638144252,256.4320930372482,37717566
2025-06-16,262.5448303222656,265.5142346237427,256.8534720777679,260.81267781307065,28020896
